date,ticker,article_count,avg_prob_pos,avg_prob_neg,avg_prob_neu,pos_count,neg_count,pos_ratio
2022-05-30,BID,1,0.2430526316165924,0.0278973076492548,0.7290500402450562,0,0,0.0
2022-05-30,FPT,1,0.2430526316165924,0.0278973076492548,0.7290500402450562,0,0,0.0
2022-05-31,BID,1,0.0655071958899498,0.13302354514598846,0.8014692068099976,0,0,0.0
2022-06-03,BID,1,0.01642368733882904,0.9102048277854919,0.07337139546871185,0,1,0.0
2022-06-03,FPT,1,0.01642368733882904,0.9102048277854919,0.07337139546871185,0,1,0.0
2022-06-08,BID,1,0.9363052845001221,0.004890712909400463,0.058804020285606384,1,0,0.9999999989999999
2022-06-09,BID,1,0.9786592125892639,0.0035915086045861244,0.017749203369021416,1,0,0.9999999989999999
2022-06-09,FPT,1,0.026527749374508858,0.8124426603317261,0.16102948784828186,0,1,0.0
2022-06-13,BID,1,0.034104183316230774,0.7197386026382446,0.2461572140455246,0,1,0.0
2022-06-13,FPT,1,0.034104183316230774,0.7197386026382446,0.2461572140455246,0,1,0.0
2022-06-14,BID,1,0.16721826791763306,0.029555154964327812,0.8032265901565552,0,0,0.0
2022-06-14,FPT,1,0.16721826791763306,0.029555154964327812,0.8032265901565552,0,0,0.0
2022-06-23,FPT,1,0.007499165832996368,0.9719998836517334,0.02050088346004486,0,1,0.0
2022-06-28,BID,1,0.30368584394454956,0.03196725249290466,0.6643468737602234,0,0,0.0
2022-06-28,FPT,1,0.30368584394454956,0.03196725249290466,0.6643468737602234,0,0,0.0
2022-06-30,BID,1,0.013749822042882442,0.9441061615943909,0.0421440564095974,0,1,0.0
2022-07-01,BID,1,0.11675510555505753,0.04215056076645851,0.8410943150520325,0,0,0.0
2022-07-02,BID,1,0.06808949261903763,0.3226204216480255,0.6092901229858398,0,0,0.0
2022-07-06,FPT,1,0.013581935316324234,0.9227312803268433,0.06368685513734818,0,1,0.0
2022-07-07,FPT,1,0.02143947035074234,0.8774511814117432,0.10110928863286972,0,1,0.0
2022-07-11,BID,1,0.010782301425933838,0.9504908919334412,0.03872678801417351,0,1,0.0
2022-07-11,FPT,1,0.010782301425933838,0.9504908919334412,0.03872678801417351,0,1,0.0
2022-07-12,BID,1,0.14644114673137665,0.02752596326172352,0.8260329365730286,0,0,0.0
2022-07-14,FPT,1,0.0859244093298912,0.07526218891143799,0.8388134241104126,0,0,0.0
2022-07-18,FPT,1,0.9869771599769592,0.004357736092060804,0.008665045723319054,1,0,0.9999999989999999
2022-07-19,BID,1,0.004216180648654699,0.9861818552017212,0.009601950645446777,0,1,0.0
2022-07-22,BID,1,0.00974216591566801,0.9581921100616455,0.032065749168395996,0,1,0.0
2022-07-25,FPT,1,0.028239022940397263,0.7727928161621094,0.19896823167800903,0,1,0.0
2022-07-26,BID,1,0.9487901926040649,0.005799430888146162,0.04541032761335373,1,0,0.9999999989999999
2022-07-28,BID,1,0.9459342956542969,0.0050311642698943615,0.04903452843427658,1,0,0.9999999989999999
2022-08-08,BID,1,0.3664778470993042,0.09107039868831635,0.542451798915863,0,0,0.0
2022-08-11,BID,1,0.004352001007646322,0.9835794568061829,0.012068444862961769,0,1,0.0
2022-08-12,BID,1,0.11475614458322525,0.03798672929406166,0.847257137298584,0,0,0.0
2022-08-15,BID,1,0.9138757586479187,0.005872135516256094,0.08025219291448593,1,0,0.9999999989999999
2022-08-15,FPT,1,0.9138757586479187,0.005872135516256094,0.08025219291448593,1,0,0.9999999989999999
2022-08-16,BID,1,0.06494627147912979,0.06494572758674622,0.8701080083847046,0,0,0.0
2022-08-22,BID,1,0.012061164714396,0.9364913105964661,0.05144751816987991,0,1,0.0
2022-08-24,BID,1,0.9364582896232605,0.014327502809464931,0.04921424388885498,1,0,0.9999999989999999
2022-08-30,BID,1,0.5447304248809814,0.016597958281636238,0.43867161870002747,1,0,0.9999999989999999
2022-08-31,BID,1,0.9867642521858215,0.003523909952491522,0.009711897000670433,1,0,0.9999999989999999
2022-09-07,BID,1,0.015220758505165577,0.9060315489768982,0.0787477046251297,0,1,0.0
2022-09-19,BID,1,0.008093205280601978,0.9662237763404846,0.02568306401371956,0,1,0.0
2022-09-19,FPT,1,0.008093205280601978,0.9662237763404846,0.02568306401371956,0,1,0.0
2022-09-20,FPT,1,0.07160066813230515,0.05166531354188919,0.8767340183258057,0,0,0.0
2022-09-21,BID,1,0.010772734880447388,0.9151731729507446,0.07405416667461395,0,1,0.0
2022-09-27,BID,1,0.9601153135299683,0.011039534583687782,0.028845248743891716,1,0,0.9999999989999999
2022-09-28,FPT,1,0.05331900715827942,0.3942231237888336,0.5524578094482422,0,0,0.0
2022-09-30,FPT,1,0.016373923048377037,0.8838656544685364,0.09976042807102203,0,1,0.0
2022-10-03,BID,1,0.008927101269364357,0.963226854801178,0.027845967561006546,0,1,0.0
2022-10-03,FPT,1,0.008927101269364357,0.963226854801178,0.027845967561006546,0,1,0.0
2022-10-06,BID,1,0.935416042804718,0.011057415045797825,0.05352657288312912,1,0,0.9999999989999999
2022-10-07,BID,1,0.049190014600753784,0.46270817518234253,0.4881018400192261,0,0,0.0
2022-10-13,BID,1,0.049586210399866104,0.5368773937225342,0.41353639960289,0,1,0.0
2022-10-17,BID,1,0.004679201636463404,0.9847120046615601,0.010608821175992489,0,1,0.0
2022-10-20,BID,1,0.9911626577377319,0.0025683818385004997,0.006268936209380627,1,0,0.9999999989999999
2022-10-24,BID,1,0.021574297919869423,0.8695809841156006,0.10884466767311096,0,1,0.0
2022-10-24,FPT,1,0.021574297919869423,0.8695809841156006,0.10884466767311096,0,1,0.0
2022-10-25,BID,1,0.11767908185720444,0.04866327717900276,0.8336576223373413,0,0,0.0
2022-10-27,BID,1,0.15398330986499786,0.03326600790023804,0.8127506971359253,0,0,0.0
2022-10-31,BID,1,0.004426128696650267,0.9855926632881165,0.009981177747249603,0,1,0.0
2022-11-04,BID,1,0.0717351958155632,0.15621750056743622,0.7720473408699036,0,0,0.0
2022-11-08,BID,1,0.12266761064529419,0.03129001334309578,0.8460423350334167,0,0,0.0
2022-11-10,FPT,1,0.007793286815285683,0.9626651406288147,0.029541652649641037,0,1,0.0
2022-11-11,BID,1,0.004335494711995125,0.9828100204467773,0.012854499742388725,0,1,0.0
2022-11-16,BID,1,0.1324748545885086,0.036346081644296646,0.8311790227890015,0,0,0.0
2022-11-21,FPT,1,0.12138019502162933,0.029206350445747375,0.8494135141372681,0,0,0.0
2022-11-24,BID,1,0.05732572823762894,0.14780671894550323,0.7948675751686096,0,0,0.0
2022-11-28,BID,1,0.9021424651145935,0.01605135388672352,0.08180613815784454,1,0,0.9999999989999999
